0	1	2
0	images/test/True/img1.jpg	5
1	images/test/True/img10.jpg	0
2	images/test/True/img11.jpg	0
3	images/test/True/img12.jpg	0
4	images/test/True/img13.jpg	0
5	images/test/True/img14.jpg	0
6	images/test/True/img15.png	0
7	images/test/True/img16.jpg	0
8	images/test/True/img17.jpg	0
9	images/test/True/img18.jpg	0
10	images/test/True/img19.png	0
11	images/test/True/img2.png	14
12	images/test/True/img20.jpg	0
13	images/test/True/img3.jpg	1
14	images/test/True/img4.jpg	33
15	images/test/True/img5.png	9
16	images/test/True/img6.png	15
17	images/test/True/img8.jpg	3
18	images/test/True/img9.png	14
19	images/test/True/screenshot_SSG.jpeg	19
20	images/test/True/screenshot_kakaotalk.jpeg	2
